FID,OBJECTID,ID,Inentario_Movimiento,F35DOV_TIP,Tipo_Movimiento,Subtipo_Movimiento,Subtipo_nombre,Etiqueta,Representación_mapa,ESRI_OID,x,y
4520,-7.58397098086E+56,7586,501,68,Volcamiento,1,Volcamiento flexural de roca,Volcamiento,vf,3310,-8222929.28349773,555888.285869953
4521,-7.58397098086E+56,7587,500,71,Flujo,6,Flujo de lodo,Flujo,fl,3311,-8227698.70518713,550079.764709216
4522,-7.58397098087E+56,11432,17391,67,Caida,23,Caida de Tierras,Caida,ct,5912,-8532720.60356056,118811.051016751
4523,-7.58397098087E+56,11411,17498,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5892,-8359104.25197764,565903.899808477
4524,-7.58397098088E+56,1631,29917,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,35,-8081238.43413769,741381.901284638
4525,-7.58397098088E+56,3402,27985,68,Volcamiento,1,Volcamiento flexural de roca,Volcamiento,vf,2591,-8214821.82308962,468395.219533083
4526,-7.58397098087E+56,5874,17359,71,Flujo,16,Avalancha de detritos,Avalancha,ar,1833,-8565554.91443273,76980.7638856784
4527,-7.58397098086E+56,6729,1157,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3003,-8573902.01230867,128106.424308368
4528,-7.58397098086E+56,7367,103,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3215,-8238668.93175926,619053.518124909
4529,-7.58397098089E+56,12181,35057,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,6460,-8204898.870472,486157.240023414
4530,-7.58397098086E+56,7372,1132,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3216,-8068484.3127256,846373.165015803
4531,-7.58397098086E+56,7374,1131,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3217,-8108713.01209079,887410.995599025
4532,-7.58397098086E+56,7375,1130,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,3218,-8108558.40167454,887848.415852563
4533,-7.58397098089E+56,12183,35058,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,6461,-8206010.88539333,468023.154354177
